Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,2,,Random0,DISCARD,C7;Q4;J0,0.0,[ 3.  5.  6.  8.  8.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[11. 11. 11. 12.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 7. 7. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q4;J0', 'pass']",,,,
1,2,,Random1,DISCARD,C6;Q4;J1,0.0,[ 2.  3.  4.  5.  8.  8.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.],[7. 7. 7. 7. 0. 0. 0. 0. 0. 0. 0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],"['C6;Q4;J0', 'C6;Q4;J1', 'pass']",,,,
1,2,,Random2,DISCARD,pass,0.0,[ 2.  3.  4.  5.  5.  7.  7.  7.  8.  8.  9.  9. 10. 10. 10.  0.  0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,2,,PPO_Gen,DISCARD,pass,0.0,[ 1.  5.  6.  8.  8.  9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,2,,Random0,DISCARD,pass,0.0,[ 3.  5.  6.  8.  8.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],[ 6.  6.  6.  6. 12.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,3,,Random1,DISCARD,C4;Q1;J0,0.0,[ 2.  3.  5.  8.  8.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C3;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
1,3,,Random2,DISCARD,C2;Q1;J0,0.0,[ 3.  4.  5.  5.  7.  7.  7.  8.  8.  9.  9. 10. 10. 10.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C3;Q1;J0', 'pass']",,,,
1,3,,PPO_Gen,DISCARD,C1;Q1;J0,0.0,[ 5.  6.  8.  8.  9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'pass']",,,,
1,3,,Random0,DISCARD,pass,0.0,[ 3.  5.  6.  8.  8.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,Random1,DISCARD,pass,0.0,[ 2.  3.  5.  8.  8.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,Random2,DISCARD,pass,0.0,[ 3.  4.  5.  5.  7.  7.  7.  8.  8.  9.  9. 10. 10. 10.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,PPO_Gen,DECLARE_PIZZA,,,,,,,,,,
1,4,,PPO_Gen,DISCARD,C5;Q1;J0,0.0,[ 6.  8.  8.  9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C6;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'pass']",,,,
1,4,,Random0,DISCARD,C3;Q1;J0,0.0,[ 5.  6.  8.  8.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'pass']",,,,
1,4,,Random1,DISCARD,C2;Q1;J0,0.0,[ 3.  5.  8.  8.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'pass']",,,,
1,4,,Random2,DISCARD,pass,0.0,[ 3.  4.  5.  5.  7.  7.  7.  8.  8.  9.  9. 10. 10. 10.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,PPO_Gen,DISCARD,pass,0.0,[ 6.  8.  8.  9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,Random0,DISCARD,pass,0.0,[ 5.  6.  8.  8.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
